idp_num,pheno,ukb_id,idp_short_name,cat_num,category,description,h2,h2_se
0601,0601,27726,aparc-a2009s_rh_volume_G-postcentral,1,regional and tissue volume,Volume of G-postcentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.181,0.0203
0602,0602,27727,aparc-a2009s_rh_volume_G-precentral,1,regional and tissue volume,Volume of G-precentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.199,0.0202
0603,0603,27728,aparc-a2009s_rh_volume_G-precuneus,1,regional and tissue volume,Volume of G-precuneus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.192,0.0206
0604,0604,27729,aparc-a2009s_rh_volume_G-rectus,1,regional and tissue volume,Volume of G-rectus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.117,0.0174
0605,0605,27730,aparc-a2009s_rh_volume_G-subcallosal,1,regional and tissue volume,Volume of G-subcallosal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.126,0.0205
0606,0606,27731,aparc-a2009s_rh_volume_G-temp-sup-G-T-transv,1,regional and tissue volume,Volume of G-temp-sup-G-T-transv in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.124,0.0164
0607,0607,27732,aparc-a2009s_rh_volume_G-temp-sup-Lateral,1,regional and tissue volume,Volume of G-temp-sup-Lateral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.188,0.018
0608,0608,27733,aparc-a2009s_rh_volume_G-temp-sup-Plan-polar,1,regional and tissue volume,Volume of G-temp-sup-Plan-polar in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.111,0.0159
0609,0609,27734,aparc-a2009s_rh_volume_G-temp-sup-Plan-tempo,1,regional and tissue volume,Volume of G-temp-sup-Plan-tempo in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.149,0.0162
0610,0610,27735,aparc-a2009s_rh_volume_G-temporal-inf,1,regional and tissue volume,Volume of G-temporal-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.158,0.0172
0611,0611,27736,aparc-a2009s_rh_volume_G-temporal-middle,1,regional and tissue volume,Volume of G-temporal-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.172,0.0192
0612,0612,27737,aparc-a2009s_rh_volume_Lat-Fis-ant-Horizont,1,regional and tissue volume,Volume of Lat-Fis-ant-Horizont in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0402,0.0145
0613,0613,27738,aparc-a2009s_rh_volume_Lat-Fis-ant-Vertical,1,regional and tissue volume,Volume of Lat-Fis-ant-Vertical in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0366,0.0158
0614,0614,27739,aparc-a2009s_rh_volume_Lat-Fis-post,1,regional and tissue volume,Volume of Lat-Fis-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.169,0.016
0615,0615,27740,aparc-a2009s_rh_volume_Pole-occipital,1,regional and tissue volume,Volume of Pole-occipital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.2,0.0226
0616,0616,27741,aparc-a2009s_rh_volume_Pole-temporal,1,regional and tissue volume,Volume of Pole-temporal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.148,0.0173
0617,0617,27742,aparc-a2009s_rh_volume_S-calcarine,1,regional and tissue volume,Volume of S-calcarine in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.301,0.0282
0618,0618,27743,aparc-a2009s_rh_volume_S-central,1,regional and tissue volume,Volume of S-central in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.195,0.0263
0619,0619,27744,aparc-a2009s_rh_volume_S-cingul-Marginalis,1,regional and tissue volume,Volume of S-cingul-Marginalis in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.112,0.0162
0620,0620,27745,aparc-a2009s_rh_volume_S-circular-insula-ant,1,regional and tissue volume,Volume of S-circular-insula-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.125,0.017
0621,0621,27746,aparc-a2009s_rh_volume_S-circular-insula-inf,1,regional and tissue volume,Volume of S-circular-insula-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.147,0.0185
0622,0622,27747,aparc-a2009s_rh_volume_S-circular-insula-sup,1,regional and tissue volume,Volume of S-circular-insula-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.16,0.0186
0623,0623,27748,aparc-a2009s_rh_volume_S-collat-transv-ant,1,regional and tissue volume,Volume of S-collat-transv-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.17,0.018
0624,0624,27749,aparc-a2009s_rh_volume_S-collat-transv-post,1,regional and tissue volume,Volume of S-collat-transv-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.103,0.0159
0625,0625,27750,aparc-a2009s_rh_volume_S-front-inf,1,regional and tissue volume,Volume of S-front-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.105,0.0165
0626,0626,27751,aparc-a2009s_rh_volume_S-front-middle,1,regional and tissue volume,Volume of S-front-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0674,0.0159
0627,0627,27752,aparc-a2009s_rh_volume_S-front-sup,1,regional and tissue volume,Volume of S-front-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0989,0.0162
0628,0628,27753,aparc-a2009s_rh_volume_S-interm-prim-Jensen,1,regional and tissue volume,Volume of S-interm-prim-Jensen in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0467,0.0126
0629,0629,27754,aparc-a2009s_rh_volume_S-intrapariet+P-trans,1,regional and tissue volume,Volume of S-intrapariet+P-trans in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.122,0.0165
0630,0630,27755,aparc-a2009s_rh_volume_S-oc-middle+Lunatus,1,regional and tissue volume,Volume of S-oc-middle+Lunatus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.119,0.0177
0631,0631,27756,aparc-a2009s_rh_volume_S-oc-sup+transversal,1,regional and tissue volume,Volume of S-oc-sup+transversal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0794,0.0151
0632,0632,27757,aparc-a2009s_rh_volume_S-occipital-ant,1,regional and tissue volume,Volume of S-occipital-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0844,0.0154
0633,0633,27758,aparc-a2009s_rh_volume_S-oc-temp-lat,1,regional and tissue volume,Volume of S-oc-temp-lat in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0835,0.018
0634,0634,27759,aparc-a2009s_rh_volume_S-oc-temp-med+Lingual,1,regional and tissue volume,Volume of S-oc-temp-med+Lingual in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.152,0.0176
0635,0635,27760,aparc-a2009s_rh_volume_S-orbital-lateral,1,regional and tissue volume,Volume of S-orbital-lateral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.068,0.0142
0636,0636,27761,aparc-a2009s_rh_volume_S-orbital-med-olfact,1,regional and tissue volume,Volume of S-orbital-med-olfact in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.116,0.0173
0637,0637,27762,aparc-a2009s_rh_volume_S-orbital-H-Shaped,1,regional and tissue volume,Volume of S-orbital-H-Shaped in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.218,0.0212
0638,0638,27763,aparc-a2009s_rh_volume_S-parieto-occipital,1,regional and tissue volume,Volume of S-parieto-occipital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.239,0.0193
0639,0639,27764,aparc-a2009s_rh_volume_S-pericallosal,1,regional and tissue volume,Volume of S-pericallosal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.107,0.0142
0640,0640,27765,aparc-a2009s_rh_volume_S-postcentral,1,regional and tissue volume,Volume of S-postcentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.118,0.0165
0641,0641,27766,aparc-a2009s_rh_volume_S-precentral-inf-part,1,regional and tissue volume,Volume of S-precentral-inf-part in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.112,0.0164
0642,0642,27767,aparc-a2009s_rh_volume_S-precentral-sup-part,1,regional and tissue volume,Volume of S-precentral-sup-part in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.104,0.0165
0643,0643,27768,aparc-a2009s_rh_volume_S-suborbital,1,regional and tissue volume,Volume of S-suborbital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.0348,0.0139
0644,0644,27769,aparc-a2009s_rh_volume_S-subparietal,1,regional and tissue volume,Volume of S-subparietal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.118,0.0168
0645,0645,27770,aparc-a2009s_rh_volume_S-temporal-inf,1,regional and tissue volume,Volume of S-temporal-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.114,0.0174
0646,0646,27771,aparc-a2009s_rh_volume_S-temporal-sup,1,regional and tissue volume,Volume of S-temporal-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.182,0.0185
0647,0647,27772,aparc-a2009s_rh_volume_S-temporal-transverse,1,regional and tissue volume,Volume of S-temporal-transverse in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation,0.118,0.014
0648,0648,26721,aparc-Desikan_lh_area_TotalSurface,2,cortical area,Area of TotalSurface in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.314,0.0236
0649,0649,26722,aparc-Desikan_lh_area_bankssts,2,cortical area,Area of bankssts in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.162,0.0175
0650,0650,26723,aparc-Desikan_lh_area_caudalanteriorcingulate,2,cortical area,Area of caudalanteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.114,0.0163
0651,0651,26724,aparc-Desikan_lh_area_caudalmiddlefrontal,2,cortical area,Area of caudalmiddlefrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.181,0.0233
0652,0652,26725,aparc-Desikan_lh_area_cuneus,2,cortical area,Area of cuneus in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.272,0.0236
0653,0653,26726,aparc-Desikan_lh_area_entorhinal,2,cortical area,Area of entorhinal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.176,0.0192
0654,0654,26727,aparc-Desikan_lh_area_fusiform,2,cortical area,Area of fusiform in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.186,0.019
0655,0655,26728,aparc-Desikan_lh_area_inferiorparietal,2,cortical area,Area of inferiorparietal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.205,0.0177
0656,0656,26729,aparc-Desikan_lh_area_inferiortemporal,2,cortical area,Area of inferiortemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.2,0.0179
0657,0657,26730,aparc-Desikan_lh_area_isthmuscingulate,2,cortical area,Area of isthmuscingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.199,0.021
0658,0658,26731,aparc-Desikan_lh_area_lateraloccipital,2,cortical area,Area of lateraloccipital in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.214,0.0214
0659,0659,26732,aparc-Desikan_lh_area_lateralorbitofrontal,2,cortical area,Area of lateralorbitofrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.269,0.0221
0660,0660,26733,aparc-Desikan_lh_area_lingual,2,cortical area,Area of lingual in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.256,0.023
0661,0661,26734,aparc-Desikan_lh_area_medialorbitofrontal,2,cortical area,Area of medialorbitofrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.116,0.0184
0662,0662,26735,aparc-Desikan_lh_area_middletemporal,2,cortical area,Area of middletemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.229,0.0201
0663,0663,26736,aparc-Desikan_lh_area_parahippocampal,2,cortical area,Area of parahippocampal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.164,0.0193
0664,0664,26737,aparc-Desikan_lh_area_paracentral,2,cortical area,Area of paracentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.216,0.0207
0665,0665,26738,aparc-Desikan_lh_area_parsopercularis,2,cortical area,Area of parsopercularis in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.143,0.0164
0666,0666,26739,aparc-Desikan_lh_area_parsorbitalis,2,cortical area,Area of parsorbitalis in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.166,0.0196
0667,0667,26740,aparc-Desikan_lh_area_parstriangularis,2,cortical area,Area of parstriangularis in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.178,0.0197
0668,0668,26741,aparc-Desikan_lh_area_pericalcarine,2,cortical area,Area of pericalcarine in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.324,0.0289
0669,0669,26742,aparc-Desikan_lh_area_postcentral,2,cortical area,Area of postcentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.179,0.0196
0670,0670,26743,aparc-Desikan_lh_area_posteriorcingulate,2,cortical area,Area of posteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.167,0.035
0671,0671,26744,aparc-Desikan_lh_area_precentral,2,cortical area,Area of precentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.235,0.0264
0672,0672,26745,aparc-Desikan_lh_area_precuneus,2,cortical area,Area of precuneus in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.261,0.0231
0673,0673,26746,aparc-Desikan_lh_area_rostralanteriorcingulate,2,cortical area,Area of rostralanteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.177,0.0184
0674,0674,26747,aparc-Desikan_lh_area_rostralmiddlefrontal,2,cortical area,Area of rostralmiddlefrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.251,0.0192
0675,0675,26748,aparc-Desikan_lh_area_superiorfrontal,2,cortical area,Area of superiorfrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.243,0.0258
0676,0676,26749,aparc-Desikan_lh_area_superiorparietal,2,cortical area,Area of superiorparietal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.211,0.02
0677,0677,26750,aparc-Desikan_lh_area_superiortemporal,2,cortical area,Area of superiortemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.273,0.0379
0678,0678,26751,aparc-Desikan_lh_area_supramarginal,2,cortical area,Area of supramarginal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.182,0.0181
0679,0679,26752,aparc-Desikan_lh_area_frontalpole,2,cortical area,Area of frontalpole in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.0615,0.0168
0680,0680,26753,aparc-Desikan_lh_area_transversetemporal,2,cortical area,Area of transversetemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.197,0.0186
0681,0681,26754,aparc-Desikan_lh_area_insula,2,cortical area,Area of insula in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.208,0.0186
0682,0682,26822,aparc-Desikan_rh_area_TotalSurface,2,cortical area,Area of TotalSurface in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.316,0.0244
0683,0683,26823,aparc-Desikan_rh_area_bankssts,2,cortical area,Area of bankssts in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.164,0.0194
0684,0684,26824,aparc-Desikan_rh_area_caudalanteriorcingulate,2,cortical area,Area of caudalanteriorcingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.118,0.0168
0685,0685,26825,aparc-Desikan_rh_area_caudalmiddlefrontal,2,cortical area,Area of caudalmiddlefrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.204,0.0235
0686,0686,26826,aparc-Desikan_rh_area_cuneus,2,cortical area,Area of cuneus in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.273,0.022
0687,0687,26827,aparc-Desikan_rh_area_entorhinal,2,cortical area,Area of entorhinal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.169,0.0209
0688,0688,26828,aparc-Desikan_rh_area_fusiform,2,cortical area,Area of fusiform in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.191,0.0206
0689,0689,26829,aparc-Desikan_rh_area_inferiorparietal,2,cortical area,Area of inferiorparietal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.189,0.019
0690,0690,26830,aparc-Desikan_rh_area_inferiortemporal,2,cortical area,Area of inferiortemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.23,0.0181
0691,0691,26831,aparc-Desikan_rh_area_isthmuscingulate,2,cortical area,Area of isthmuscingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.187,0.0203
0692,0692,26832,aparc-Desikan_rh_area_lateraloccipital,2,cortical area,Area of lateraloccipital in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.238,0.0226
0693,0693,26833,aparc-Desikan_rh_area_lateralorbitofrontal,2,cortical area,Area of lateralorbitofrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.178,0.0199
0694,0694,26834,aparc-Desikan_rh_area_lingual,2,cortical area,Area of lingual in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.257,0.0244
0695,0695,26835,aparc-Desikan_rh_area_medialorbitofrontal,2,cortical area,Area of medialorbitofrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.186,0.0186
0696,0696,26836,aparc-Desikan_rh_area_middletemporal,2,cortical area,Area of middletemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.247,0.0224
0697,0697,26837,aparc-Desikan_rh_area_parahippocampal,2,cortical area,Area of parahippocampal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.167,0.0182
0698,0698,26838,aparc-Desikan_rh_area_paracentral,2,cortical area,Area of paracentral in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.204,0.0255
0699,0699,26839,aparc-Desikan_rh_area_parsopercularis,2,cortical area,Area of parsopercularis in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.14,0.0181
0700,0700,26840,aparc-Desikan_rh_area_parsorbitalis,2,cortical area,Area of parsorbitalis in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.185,0.0171
0701,0701,26841,aparc-Desikan_rh_area_parstriangularis,2,cortical area,Area of parstriangularis in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.152,0.02
0702,0702,26842,aparc-Desikan_rh_area_pericalcarine,2,cortical area,Area of pericalcarine in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.342,0.0301
0703,0703,26843,aparc-Desikan_rh_area_postcentral,2,cortical area,Area of postcentral in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.18,0.02
0704,0704,26844,aparc-Desikan_rh_area_posteriorcingulate,2,cortical area,Area of posteriorcingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.179,0.024
0705,0705,26845,aparc-Desikan_rh_area_precentral,2,cortical area,Area of precentral in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.239,0.0274
0706,0706,26846,aparc-Desikan_rh_area_precuneus,2,cortical area,Area of precuneus in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.233,0.0207
0707,0707,26847,aparc-Desikan_rh_area_rostralanteriorcingulate,2,cortical area,Area of rostralanteriorcingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.119,0.0158
0708,0708,26848,aparc-Desikan_rh_area_rostralmiddlefrontal,2,cortical area,Area of rostralmiddlefrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.231,0.0185
0709,0709,26849,aparc-Desikan_rh_area_superiorfrontal,2,cortical area,Area of superiorfrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.216,0.0204
0710,0710,26850,aparc-Desikan_rh_area_superiorparietal,2,cortical area,Area of superiorparietal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.187,0.0181
0711,0711,26851,aparc-Desikan_rh_area_superiortemporal,2,cortical area,Area of superiortemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.258,0.0313
0712,0712,26852,aparc-Desikan_rh_area_supramarginal,2,cortical area,Area of supramarginal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.165,0.019
0713,0713,26853,aparc-Desikan_rh_area_frontalpole,2,cortical area,Area of frontalpole in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.0748,0.0152
0714,0714,26854,aparc-Desikan_rh_area_transversetemporal,2,cortical area,Area of transversetemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.212,0.0195
0715,0715,26855,aparc-Desikan_rh_area_insula,2,cortical area,Area of insula in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,0.212,0.0223
0716,0716,26923,aparc-pial_lh_area_TotalSurface,2,cortical area,Area of TotalSurface in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.293,0.0209
0717,0717,26924,aparc-pial_lh_area_bankssts,2,cortical area,Area of bankssts in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.1,0.0161
0718,0718,26925,aparc-pial_lh_area_caudalanteriorcingulate,2,cortical area,Area of caudalanteriorcingulate in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.096,0.0148
0719,0719,26926,aparc-pial_lh_area_caudalmiddlefrontal,2,cortical area,Area of caudalmiddlefrontal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.151,0.0233
0720,0720,26927,aparc-pial_lh_area_cuneus,2,cortical area,Area of cuneus in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.267,0.0243
0721,0721,26928,aparc-pial_lh_area_entorhinal,2,cortical area,Area of entorhinal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.127,0.0159
0722,0722,26929,aparc-pial_lh_area_fusiform,2,cortical area,Area of fusiform in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.164,0.0187
0723,0723,26930,aparc-pial_lh_area_inferiorparietal,2,cortical area,Area of inferiorparietal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.189,0.0178
0724,0724,26931,aparc-pial_lh_area_inferiortemporal,2,cortical area,Area of inferiortemporal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.173,0.0173
0725,0725,26932,aparc-pial_lh_area_isthmuscingulate,2,cortical area,Area of isthmuscingulate in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.188,0.0205
0726,0726,26933,aparc-pial_lh_area_lateraloccipital,2,cortical area,Area of lateraloccipital in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.193,0.02
0727,0727,26934,aparc-pial_lh_area_lateralorbitofrontal,2,cortical area,Area of lateralorbitofrontal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.256,0.0233
0728,0728,26935,aparc-pial_lh_area_lingual,2,cortical area,Area of lingual in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.247,0.0225
0729,0729,26936,aparc-pial_lh_area_medialorbitofrontal,2,cortical area,Area of medialorbitofrontal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.0997,0.0177
0730,0730,26937,aparc-pial_lh_area_middletemporal,2,cortical area,Area of middletemporal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.219,0.0194
0731,0731,26938,aparc-pial_lh_area_parahippocampal,2,cortical area,Area of parahippocampal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.168,0.019
0732,0732,26939,aparc-pial_lh_area_paracentral,2,cortical area,Area of paracentral in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.173,0.0208
0733,0733,26940,aparc-pial_lh_area_parsopercularis,2,cortical area,Area of parsopercularis in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.112,0.0153
0734,0734,26941,aparc-pial_lh_area_parsorbitalis,2,cortical area,Area of parsorbitalis in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.139,0.0177
0735,0735,26942,aparc-pial_lh_area_parstriangularis,2,cortical area,Area of parstriangularis in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.131,0.0187
0736,0736,26943,aparc-pial_lh_area_pericalcarine,2,cortical area,Area of pericalcarine in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.297,0.028
0737,0737,26944,aparc-pial_lh_area_postcentral,2,cortical area,Area of postcentral in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.162,0.0197
0738,0738,26945,aparc-pial_lh_area_posteriorcingulate,2,cortical area,Area of posteriorcingulate in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.144,0.0302
0739,0739,26946,aparc-pial_lh_area_precentral,2,cortical area,Area of precentral in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.23,0.0255
0740,0740,26947,aparc-pial_lh_area_precuneus,2,cortical area,Area of precuneus in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.252,0.021
0741,0741,26948,aparc-pial_lh_area_rostralanteriorcingulate,2,cortical area,Area of rostralanteriorcingulate in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.176,0.0177
0742,0742,26949,aparc-pial_lh_area_rostralmiddlefrontal,2,cortical area,Area of rostralmiddlefrontal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.242,0.0191
0743,0743,26950,aparc-pial_lh_area_superiorfrontal,2,cortical area,Area of superiorfrontal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.224,0.025
0744,0744,26951,aparc-pial_lh_area_superiorparietal,2,cortical area,Area of superiorparietal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.199,0.0198
0745,0745,26952,aparc-pial_lh_area_superiortemporal,2,cortical area,Area of superiortemporal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.244,0.0371
0746,0746,26953,aparc-pial_lh_area_supramarginal,2,cortical area,Area of supramarginal in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.171,0.018
0747,0747,26954,aparc-pial_lh_area_frontalpole,2,cortical area,Area of frontalpole in the left hemisphere generated by parcellation of the pial surface using Desikan-Killiany parcellation,0.0662,0.0159
